gene,ko_l2_mean_70d,ko_l2_mean_115d
MALAT1,2.6683962,0.64050233
MT-CO1,0.7942785,0.22706838
TMSB4X,0.67236626,0.1664676
RPLP1,0.6096953,0.27168182
MT-ND4,0.5739819,0.20467111
RPS18,0.5701039,0.23105446
TUBA1A,0.54113346,0.28631824
RPS2,0.51641667,0.21227701
ACTB,0.48511177,0.17732812
RPL3,0.46816462,0.1519909
MT-CO2,0.46268684,0.15035675
ACTG1,0.4625329,0.21574022
RPL13A,0.43672213,0.10964803
MT-CO3,0.42287427,0.14966989
RPS6,0.42115074,0.12773181
RPS10,0.3834402,0.1237408
VIM,0.37494636,0.13840069
MT-ATP6,0.3592333,0.16506968
RPS5,0.3405944,0.119929075
GAPDH,0.32443836,0.10396172
RPLP0,0.32008812,0.100142375
TUBA1B,0.30695167,0.07615951
RPSA,0.30498332,0.11301638
MT-RNR2,0.28856024,0.16468962
NACA,0.28709322,0.13933608
TMSB10,0.27998218,0.16273238
HSP90AA1,0.27726486,0.23460214
CKB,0.2604324,0.08892711
MT-CYB,0.25828585,0.13763663
FABP7,0.25511453,0.114177436
RPL41,0.25484246,0.13246574
MIR9-1HG,0.25111514,0.13450046
MARCKS,0.2420789,0.122801766
PTN,0.2270489,0.21369004
SOX11,0.22454768,0.1316179
STMN1,0.22217232,0.105812654
H2AZ1,0.22146204,0.053028855
MAP1B,0.2180596,0.13059711
NFIA,0.20969468,0.25081983
HMGB1,0.20927943,0.1026763
NFIB,0.20556094,0.21638176
RPL39,0.20157383,0.16187893
MEIS2,0.19750121,0.18026835
HNRNPH1,0.19657987,0.105884664
MARCKSL1,0.19525419,0.07864348
PANTR1,0.17887503,0.10580633
TPI1,0.17246673,0.04103559
ENO1,0.16543904,0.046962347
RPS20,0.16523485,0.037339915
NPAS3,0.16272694,0.17404796
MT-RNR1,0.15954572,0.10099044
MIR99AHG,0.1481039,0.16689673
SET,0.14580493,0.056768715
HES1,0.14449981,0.035590783
SOX5,0.13863422,0.12239079
PKM,0.13287525,0.04094061
NKAIN3,0.13243121,0.12570629
FOS,0.13015844,0.02093368
LDHA,0.12940438,0.039397895
CTNNB1,0.12875706,0.06399773
JUN,0.12859821,0.0457031
PTPRS,0.12781788,0.09311678
TCF7L2-1,0.12487293,0.08583254
NNAT,0.12477599,0.06351097
PAX6,0.12430174,0.05440858
FTL,0.12404522,0.051316805
SOX4,0.12003148,0.06464241
LINC01551,0.11976218,0.028806577
NPM1,0.1189774,0.03548676
NR2F1,0.11870495,0.09346414
DACH1,0.11868963,0.11542308
EEF1D,0.11679485,0.03628414
LINC00461,0.116700664,0.12335911
EMX2,0.116600245,0.0221273
TTYH1,0.11567057,0.081267826
TUBB3,0.11505629,0.07634645
TCF7L2,0.111066125,0.16204144
TUBB2A,0.10985613,0.08342239
FABP5P1,0.10981466,0.050436396
MPPED2,0.10976122,0.08844541
RANBP1,0.10962752,0.022061339
GAS5,0.10911679,0.027984757
NAP1L1,0.10897167,0.03365341
LDHB,0.106892586,0.02840676
ADGRB3,0.10652526,0.12151312
PTMS,0.105963305,0.059217438
HMGB2,0.105940595,0.0224425
RAN,0.10455119,0.025588294
BASP1,0.10385733,0.09999122
NLGN1,0.100737624,0.10054832
CREB5,0.100026906,0.06449157
AUTS2,0.099339545,0.15291363
EIF4A1,0.098707035,0.028413314
CDC42,0.0978498,0.041196615
PTPRZ1,0.096730225,0.104957856
SKP1,0.09554978,0.033451334
SOX2-OT,0.09537824,0.10222136
NUCKS1,0.094487645,0.03861834
QKI,0.09397826,0.13296172
ZFP36L1,0.09333425,0.022381669
ERBB4,0.093328536,0.07279531
JPT1,0.09279573,0.03440675
GLI3,0.091979876,0.095643334
TMSB15A,0.091504335,0.015856842
CCNI,0.09131933,0.04845456
DUT,0.09084934,0.03299926
GSTP1,0.09050727,0.029542709
CASC15,0.08899015,0.1072548
HMGA2,0.08802811,0.026938006
DLGAP1,0.0876706,0.106328614
CLU,0.08659018,0.071215026
MDK,0.085051164,0.031335995
PTGES3,0.0847486,0.044459306
HSPD1,0.08376365,0.0518885
DYNLL1-1,0.083124965,0.045261536
HSPE1,0.08075356,0.04476506
LINC01965,0.08055918,0.106696
HMGN3,0.08007207,0.030739762
HMGCS1,0.08006394,0.07199355
CALM1,0.07998807,0.053629044
ZBTB20,0.07977194,0.12178595
CNN3,0.077952355,0.040414862
H4C3,0.07736582,0.017368725
MIR100HG,0.07732539,0.11212027
EIF4A2,0.07700536,0.022982335
EGR1,0.076994404,0.006509949
CDON,0.074852645,0.055481154
SETBP1,0.074842736,0.08807988
DOK5,0.073322,0.062454842
GPM6B,0.07265985,0.070133075
GPC6,0.07223451,0.072920494
HES4,0.07210571,0.03815837
FOXP1,0.071717545,0.065364584
PRDX1,0.07169998,0.02980966
TMA7,0.071411856,0.02730167
PTTG1,0.071309514,0.014087054
MEG3,0.071220584,0.04776947
GPM6A,0.07092515,0.096573606
SQLE,0.0694803,0.037283808
ZIC1,0.069375314,0.050097078
CRB2,0.06836484,0.03136864
ADGRV1,0.06793745,0.11117264
RBMX,0.06780912,0.032196227
CENPF,0.06696158,0.027777039
CKS2,0.06688252,0.009371394
TNRC6B,0.066814594,0.06069411
SNRPD2-1,0.065744646,0.0140556805
ROBO2,0.06573668,0.11598113
NCAM1,0.06528826,0.06814391
MIR924HG,0.06522804,0.048371248
MAGI1,0.064993255,0.0676717
BTG1,0.06446457,0.0181609
ID4,0.064286076,0.061782673
IER2,0.064151056,0.009600537
LSAMP,0.06392297,0.11741088
SHROOM3,0.06355946,0.07232709
HSPB1,0.06341798,0.036881123
METAP2,0.06294557,0.100693256
HES6,0.06255556,0.032419242
POLR2L,0.061395396,0.013352606
RPS27L,0.06058208,0.012898545
SFRP1,0.059258927,0.046221558
MSMO1,0.059202336,0.053129185
UHRF1,0.059015542,0.0180662
FOXP2,0.05889922,0.06287434
CCNA2,0.058766823,0.017965091
CDH12,0.058182288,0.011999858
TOP2A,0.058024235,0.02890215
KAZN,0.057950538,0.0678792
IL1RAPL1,0.056814656,0.040173586
NCKAP5,0.056763552,0.08723919
C4orf48,0.056657035,0.033709098
BIRC5,0.056632794,0.009263699
EIF1B,0.056248676,0.01961668
CXCR4,0.056048196,0.013495115
SCHIP1,0.056005478,0.01727105
PAM,0.055739183,0.03204617
TYMS,0.055673704,0.01222269
TENM2,0.05557136,0.0473598
PARD3B,0.055442143,0.09362321
BCL11A,0.055286914,0.032360632
ROBO1,0.05516395,0.06413055
FGFBP3,0.054171927,0.036445368
RPL22,0.05390138,0.05102045
RERE,0.053810343,0.07703452
UBE2C,0.053680845,0.009677537
FOXG1,0.05354541,0.04927133
LRRC4C,0.0533271,0.07232863
NEDD4L,0.053002574,0.08621713
ZEB1,0.052923173,0.06145141
MORF4L2,0.052891348,0.015689412
DDIT4,0.052826896,0.020424489
UBC,0.052789517,0.028081795
IGFBPL1,0.052767303,0.020665059
MEST,0.052710317,0.021769164
RORA-2,0.052648574,0.08759645
DPP10,0.052603044,0.046008572
MPP2,0.052471254,0.09532657
NRG3,0.052290644,0.12460221
LIX1,0.052189764,0.0065530916
DDAH2,0.051758267,0.019497657
SLC1A3,0.051732503,0.081920676
CLYBL,0.051048443,0.022268856
SLC35F1,0.0510007,0.06178238
GRID2,0.050929464,0.14155376
CD24,0.05077175,0.021268383
NREP,0.050675467,0.034993052
TUBB4B,0.05052076,0.022564733
TMEM161B-DT,0.049867656,0.04678947
TFDP2,0.04960673,0.033762716
PBX1,0.049374286,0.08010738
STMN4,0.048913147,0.01986843
SOX6,0.048868027,0.10047441
TCF12,0.048730433,0.05967877
MSI2,0.048618283,0.08210305
KIAA1217,0.048533157,0.026793733
VCAN,0.048458192,0.059581835
UCHL1,0.04844418,0.033860486
HSPA1A,0.048290648,0.15687047
TMEM123,0.04788238,0.01717644
SOX9,0.04787603,0.028332505
SUB1,0.047445558,0.018921638
RFX4,0.047443755,0.03907756
KPNA2,0.047388986,0.011594718
H2AZ2,0.04737073,0.015952656
TLE4,0.04703468,0.04506895
EXT1,0.046737347,0.052936144
HEY1,0.046607453,0.008348835
PTPRM,0.04659116,0.095533445
XRCC5,0.04646148,0.026686989
PSD3,0.046258945,0.04803963
FBXL7,0.046142217,0.06273412
TENM4,0.04571083,0.042148437
ZFHX4,0.04560726,0.07009177
TENM3,0.045563307,0.026398273
DNAJB6,0.04501411,0.032278903
CELF2,0.044982288,0.08073537
GNG5,0.04473645,0.0179489
PEG10,0.044691235,0.020228956
POMP,0.044526216,0.013430598
H1-10,0.04445562,0.038577054
BRINP3,0.044383883,0.0370473
LHX2,0.04435793,0.031430207
SDK1,0.044355586,0.04763769
H1-0,0.044292476,0.01672069
ANKS1B,0.04426346,0.117113434
SMC4,0.04407543,0.023678768
FGFR3,0.043998618,0.044173997
LIMCH1,0.04384423,0.07161202
TTC3,0.043802597,0.043465633
MAD2L1,0.04376512,0.0075770756
CDK1,0.043685928,0.01026629
CADM1,0.043436855,0.038560335
LINC01414,0.043429106,0.011229786
DAB1,0.043352246,0.05428957
UBE2T,0.04317038,0.008880765
PDE1A,0.04296001,0.05359708
PCDH9,0.042801656,0.11972435
PTPRK,0.042755894,0.051484153
SOX3,0.042683177,0.005007377
HDAC9,0.042598102,0.038855635
FUT9,0.042304233,0.05626566
HSPA1B,0.042272396,0.117924064
NDUFA11,0.042153444,0.016061382
PLCB1,0.04187351,0.04277672
PLEKHA5,0.04177286,0.05946889
NAV3,0.04169096,0.11328436
CENPK,0.041625272,0.028075151
FSTL5,0.041379888,0.050671913
LDB2,0.04130513,0.011235403
HMGB3,0.041212924,0.007575432
SFRP2,0.041162565,0.01996982
CLASP2,0.041115474,0.0551791
NELL2,0.041052654,0.03627705
ZNF536,0.04095066,0.028273335
RRM2,0.04070761,0.02425712
FAT3,0.04069965,0.06201236
C11orf58,0.04056058,0.016670164
CCN2,0.040249553,0.007326734
CNTNAP2,0.040191215,0.045111693
RFC3,0.04006058,0.029705657
PDZRN4,0.039874386,0.015637971
MID1,0.039830346,0.03239313
THSD4,0.039795868,0.028540922
DIAPH3,0.03910584,0.047696173
MAGI2,0.03893363,0.07638949
NTRK3,0.038933434,0.045989435
CADM2,0.038800288,0.09685364
PALLD,0.03859296,0.038411412
XYLT1,0.038439043,0.045371942
NAV2,0.03834532,0.047928274
GPHN,0.038317572,0.05638385
SYT1,0.038229443,0.049318478
LSM5,0.037846617,0.010967901
BNIP3,0.037775435,0.019910429
CA12,0.037494138,0.038238
FAM107A,0.03736333,0.016761234
KCNQ3,0.03733492,0.02867154
GRIA1,0.03707783,0.07668655
MAPK10,0.0369521,0.07442884
SPARC,0.03688695,0.028029056
CACYBP,0.036730275,0.0172913
DDAH1,0.036569748,0.035139684
ANK2,0.036464695,0.08489707
CCND1,0.036388442,0.0053060567
DLEU2,0.036372926,0.034958236
SAMD4A,0.035977695,0.051540572
PTPRG,0.035886414,0.05851323
LEF1,0.03571921,0.0041578575
PDE4B,0.0353371,0.049803462
CTNND2,0.035217687,0.10026914
PTPRD,0.034861963,0.10233695
NOVA1,0.034551803,0.038870003
CDH4,0.03450295,0.060130224
MAML3,0.03442101,0.022961807
MASP1,0.034313362,0.02171344
EGFEM1P,0.034274105,0.01773808
CACHD1,0.034235455,0.042629156
NRG1-1,0.034109868,0.093332544
H2AX,0.03408937,0.01742439
CDK6,0.034075577,0.02861181
TPBG,0.03397788,0.005682195
TCF7L1,0.033950277,0.019892344
NFIX,0.033894848,0.07549504
EFNA5,0.033761363,0.017730417
MLLT11,0.03347563,0.013169992
SORBS2,0.033081755,0.03390601
CKS1B,0.033025004,0.0058354526
PBK,0.03295067,0.0068544354
RMST,0.032786906,0.048580114
LHFPL6,0.032783255,0.035691373
ZIC2,0.03257857,0.027987821
CCNB1,0.03239262,0.009422155
ADAMTS6,0.03233198,0.05063637
WLS,0.03216001,0.019595604
HSPH1,0.031995952,0.046284202
FGFR2,0.03195183,0.04150263
PRKD1,0.031467132,0.05027641
COL11A1,0.0314391,0.051775057
OTX2-AS1,0.031131761,0.006171074
SPC25,0.030963367,0.0099577205
CEP112,0.03089469,0.034238756
TERF2IP,0.030718524,0.013989469
CSRP2,0.030716905,0.018789683
NCALD,0.03070341,0.03384232
WWOX,0.030654574,0.041998085
VEPH1,0.03061453,0.020356312
TMEM98,0.030594032,0.017207138
SLC44A5,0.030572686,0.039326955
SLIT2,0.030486787,0.023784969
BACH2,0.030468255,0.036897276
PDLIM3,0.0304089,0.025170943
COL4A5,0.03024016,0.037261594
TMTC2,0.030200297,0.061430298
RAD51B,0.029784938,0.0443835
PREX2,0.029766928,0.035986472
NR2F2-AS1,0.029734882,0.03296967
DMD,0.029656295,0.06079632
SVIL,0.029644655,0.026003813
PHLDA1,0.029580802,0.010689555
ID2,0.029544104,0.016529452
EPHA3,0.029364638,0.04016063
APOLD1,0.02924204,0.02406183
MARCHF1,0.029203353,0.05656776
NRXN3,0.028962776,0.07319233
GULP1,0.028909028,0.036701273
LRRC3B,0.028694801,0.051700715
ELP4,0.028594779,0.035633713
MGST1,0.028562011,0.03060933
HS6ST2,0.028453607,0.024147293
CCNB2,0.028425971,0.006427554
MAGED1,0.028321415,0.01788057
