gene,bio_rank,ko_l2_mean,mean_expr,frac_expr
NFIA,1,0.25081983,14.479769,0.9183526011560692
NFIB,2,0.21638176,9.111994,0.9017341040462428
PTN,3,0.21369004,13.617775,0.9082369942196532
NRXN1,4,0.19317347,17.072977,0.9559248554913294
MEIS2,5,0.18026835,11.043352,0.5924855491329479
NPAS3,6,0.17404796,15.860549,0.9566473988439308
MIR99AHG,7,0.16689673,18.51373,0.9689306358381504
TCF7L2,8,0.16204144,5.711705,0.8041907514450867
AUTS2,9,0.15291363,10.314306,0.9689306358381504
GRID2,10,0.14155376,11.590318,0.9067919075144508
NACA,11,0.13933608,3.3612716,0.7117052023121387
MIR9-1HG,12,0.13450046,4.882948,0.7702312138728323
QKI,13,0.13296172,13.521676,0.9393063583815028
SOX11,14,0.1316179,2.0520232,0.6582369942196532
MAP1B,15,0.13059711,5.3063583,0.8952312138728323
NKAIN3,16,0.12570629,11.422688,0.7875722543352601
NRG3,17,0.12460221,9.588873,0.9523121387283237
LINC00461,18,0.12335911,6.102601,0.8894508670520231
MARCKS,19,0.122801766,4.70737,0.7059248554913294
SOX5,20,0.12239079,9.024567,0.9190751445086706
ZBTB20,21,0.12178595,9.843208,0.8721098265895953
ADGRB3,22,0.12151312,18.623554,0.9653179190751444
PCDH9,23,0.11972435,5.521676,0.8229768786127167
LSAMP,24,0.11741088,9.964596,0.9465317919075144
ANKS1B,25,0.117113434,5.7080927,0.9089595375722545
ROBO2,26,0.11598113,7.4378614,0.7861271676300579
DACH1,27,0.11542308,5.851156,0.7760115606936416
FABP7,28,0.114177436,6.2745667,0.619942196531792
NAV3,29,0.11328436,4.680636,0.740606936416185
MIR100HG,30,0.11212027,4.224711,0.865606936416185
ADGRV1,31,0.11117264,14.534682,0.7608381502890174
CASC15,32,0.1072548,5.155347,0.8583815028901735
LINC01965,33,0.106696,8.71315,0.4385838150289017
DLGAP1,34,0.106328614,7.642341,0.7312138728323699
HNRNPH1,35,0.105884664,1.6712428,0.634393063583815
STMN1,36,0.105812654,3.3706648,0.7666184971098265
PANTR1,37,0.10580633,3.458815,0.6524566473988439
PTPRZ1,38,0.104957856,9.654624,0.786849710982659
HMGB1,39,0.1026763,4.353324,0.8027456647398844
PTPRD,40,0.10233695,5.677746,0.8901734104046243
SOX2-OT,41,0.10222136,3.5643063,0.7239884393063584
METAP2,42,0.100693256,5.544075,0.9328034682080923
NLGN1,43,0.10054832,8.537572,0.8511560693641619
SOX6,44,0.10047441,6.5498557,0.8070809248554913
CTNND2,45,0.10026914,9.063583,0.9682080924855492
BASP1,46,0.09999122,4.853324,0.8020231213872833
CADM2,47,0.09685364,6.5130057,0.7622832369942196
GPM6A,48,0.096573606,6.75578,0.9328034682080923
GLI3,49,0.095643334,6.114162,0.5982658959537572
PTPRM,50,0.095533445,6.480491,0.7940751445086706
MPP2,51,0.09532657,4.544075,0.7940751445086706
PARD3B,52,0.09362321,5.8460984,0.8526011560693642
NR2F1,53,0.09346414,1.8937861,0.5932080924855492
NRG1-1,54,0.093332544,14.2536125,0.721820809248555
PTPRS,55,0.09311678,1.7160405,0.6842485549132948
NCAM2,56,0.09259739,5.194364,0.8757225433526011
CKB,57,0.08892711,4.232659,0.6734104046242775
MPPED2,58,0.08844541,3.9371388,0.583092485549133
SETBP1,59,0.08807988,5.9125724,0.8533236994219653
RORA-2,60,0.08759645,5.601156,0.8952312138728323
