gene,bio_rank,ko_l2_mean,residual_l2,resid_rank,mean_expr,frac_expr,is_ref
NFIA,1,0.25081983,0.1157717973321732,1,14.479769,0.9183526011560692,FALSE
NFIB,2,0.21638176,0.1035036316196952,2,9.111994,0.9017341040462428,FALSE
PTN,3,0.21369004,0.0815516217950995,3,13.617775,0.9082369942196532,FALSE
SOX11,14,0.1316179,0.07927445208829148,4,2.0520232,0.6582369942196532,FALSE
TCF7L2,8,0.16204144,0.06974261999516237,5,5.711705,0.8041907514450867,FALSE
NACA,11,0.13933608,0.06877629071843527,6,3.3612716,0.7117052023121387,FALSE
HNRNPH1,35,0.105884664,0.0603055747965422,7,1.6712428,0.634393063583815,FALSE
MEIS2,5,0.18026835,0.05534190787500991,8,11.043352,0.5924855491329479,FALSE
NRXN1,4,0.19317347,0.05035544249712602,9,17.072977,0.9559248554913294,FALSE
MIR9-1HG,12,0.13450046,0.04879480153149635,10,4.882948,0.7702312138728323,FALSE
PTPRS,55,0.09311678,0.0471307066213216,11,1.7160405,0.6842485549132948,FALSE
NR2F1,53,0.09346414,0.04330546819371723,12,1.8937861,0.5932080924855492,FALSE
MAP1B,15,0.13059711,0.04241342860779518,13,5.3063583,0.8952312138728323,FALSE
MARCKS,19,0.122801766,0.038084935685663235,14,4.70737,0.7059248554913294,FALSE
STMN1,36,0.105812654,0.03565221575315367,15,3.3706648,0.7666184971098265,FALSE
NPAS3,6,0.17404796,0.034877413039229845,16,15.860549,0.9566473988439308,FALSE
AUTS2,9,0.15291363,0.03477203478155264,17,10.314306,0.9689306358381504,FALSE
PANTR1,37,0.10580633,0.033534260626619405,18,3.458815,0.6524566473988439,FALSE
MIR100HG,30,0.11212027,0.033525286557976326,19,4.224711,0.865606936416185,FALSE
TUBB3,81,0.07634645,0.03232854700994737,20,1.5975434,0.6445086705202312,FALSE
NFIX,84,0.07549504,0.030405225368702164,21,1.6163294,0.5700867052023122,FALSE
SOX2-OT,41,0.10222136,0.02939045867179601,22,3.5643063,0.7239884393063584,FALSE
NAV3,29,0.11328436,0.029137153647302707,23,4.680636,0.740606936416185,FALSE
