gene,ko_l2_mean,ko_centroid_shift,mean_expr,frac_expr,rank,t0_tag
MALAT1,2.6683962,2.5353177,139.06628,1.0,1,t70d_RG
MT-CO1,0.7942785,0.7537043,13.622481,0.9821897810218978,2,t70d_RG
TMSB4X,0.67236626,0.60651207,41.972847,0.9997080291970802,3,t70d_RG
RPLP1,0.6096953,0.5631525,19.483795,0.9994160583941606,4,t70d_RG
MT-ND4,0.5739819,0.5463661,7.85781,0.9591240875912409,5,t70d_RG
RPS18,0.5701039,0.5253373,17.744818,0.9985401459854014,6,t70d_RG
TUBA1A,0.54113346,0.48573622,18.359417,0.997080291970803,7,t70d_RG
RPS2,0.51641667,0.47882497,19.295475,0.9991240875912408,8,t70d_RG
ACTB,0.48511177,0.43845606,20.149488,0.9985401459854014,9,t70d_RG
RPL3,0.46816462,0.4284735,15.292847,0.9988321167883212,10,t70d_RG
MT-CO2,0.46268684,0.43253893,9.218978,0.9783941605839416,11,t70d_RG
ACTG1,0.4625329,0.41856727,12.220438,0.9973722627737226,12,t70d_RG
RPL13A,0.43672213,0.38804105,22.681168,0.997956204379562,13,t70d_RG
MT-CO3,0.42287427,0.40115398,9.269489,0.9658394160583942,14,t70d_RG
RPS6,0.42115074,0.3876196,16.19124,0.997956204379562,15,t70d_RG
RPS10,0.3834402,0.35152957,6.78219,0.9745985401459853,16,t70d_RG
VIM,0.37494636,0.33494532,15.119416,0.9918248175182481,17,t70d_RG
MT-ATP6,0.3592333,0.34173632,6.336934,0.9328467153284672,18,t70d_RG
RPS5,0.3405944,0.31262326,9.029197,0.9924087591240875,19,t70d_RG
GAPDH,0.32443836,0.2894059,11.952117,0.9927007299270073,20,t70d_RG
RPLP0,0.32008812,0.2945244,8.387154,0.9786861313868613,21,t70d_RG
TUBA1B,0.30695167,0.2742665,13.150365,0.9497810218978102,22,t70d_RG
RPSA,0.30498332,0.2816168,7.3424816,0.9775182481751825,23,t70d_RG
MT-RNR2,0.28856024,0.2582274,5.623358,0.901021897810219,24,t70d_RG
NACA,0.28709322,0.2652135,4.8554745,0.9667153284671532,25,t70d_RG
TMSB10,0.27998218,0.2279122,10.211387,0.9915328467153285,26,t70d_RG
HSP90AA1,0.27726486,0.25288358,7.9039416,0.9591240875912409,27,t70d_RG
CKB,0.2604324,0.23483256,9.699854,0.9763503649635037,28,t70d_RG
MT-CYB,0.25828585,0.24352372,4.4014597,0.8846715328467153,29,t70d_RG
FABP7,0.25511453,0.22541833,7.8864236,0.7725547445255474,30,t70d_RG
RPL41,0.25484246,0.21652137,11.304234,0.9716788321167883,31,t70d_RG
MIR9-1HG,0.25111514,0.22261564,9.098686,0.7833576642335767,32,t70d_RG
MARCKS,0.2420789,0.22216047,5.3754745,0.964963503649635,33,t70d_RG
PTN,0.2270489,0.20024678,9.64438,0.7816058394160584,34,t70d_RG
