gene,pearson_r_70d,pearson_r_115d
NR2F1,0.34409141540527344,0.15938329696655273
FGFR3,0.32584500312805176,0.14356164634227753
NFIA,-0.31292396783828735,0.04011779651045799
AURKA,-0.2893613576889038,-0.09433707594871521
CDC20,-0.2835063934326172,-0.07451312243938446
CCNB1,-0.2763012647628784,-0.0354723297059536
CENPF,-0.27598631381988525,-0.08093440532684326
PLK1,-0.2738891839981079,-0.056375063955783844
VIM,-0.2725396454334259,0.13519789278507233
PIF1,-0.2632249891757965,-0.08715757727622986
NEK2,-0.2579408288002014,-0.02180829644203186
ASPM,-0.2574031352996826,-0.03824660927057266
DLGAP5-1,-0.2501392364501953,-0.0575549378991127
RPLP1,0.24887442588806152,0.22557340562343597
CENPE,-0.24860180914402008,-0.07085252553224564
NCKAP5,-0.2476108968257904,0.041287630796432495
CCNB2,-0.2472001165151596,-0.0598038025200367
SPRY1,-0.2459041029214859,0.14923471212387085
RMST,-0.24554386734962463,0.037722643464803696
UBE2C,-0.2445761263370514,-0.05837640538811684
GAS2L3,-0.23640792071819305,0.06364817917346954
CDCA8,-0.23613259196281433,-0.1141684353351593
SGO2,-0.2355387657880783,-0.055771440267562866
MPPED2,-0.2351962774991989,-0.38972753286361694
BUB1,-0.2349269986152649,-0.059881336987018585
MKI67,-0.23462289571762085,-0.046495430171489716
DOK5,-0.23399388790130615,-0.3269677758216858
PAX6,-0.23386256396770477,-0.1776130348443985
CDKN3,-0.23329216241836548,-0.004681764170527458
CENPA,-0.23169159889221191,-0.040267497301101685
TMEM132D,-0.23137067258358002,-0.24360966682434082
KIF14,-0.22825871407985687,-0.06035004183650017
LGALS1,-0.22767096757888794,-0.038747675716876984
CKS2,-0.2272247076034546,-0.0613730326294899
KPNA2,-0.227034330368042,-0.06900975853204727
TPX2,-0.22653968632221222,-0.06887046992778778
CREB5,-0.22537487745285034,-0.29906004667282104
APOLD1,-0.22282007336616516,-0.055062830448150635
KIF2C,-0.22260965406894684,-0.040707845240831375
CLVS1,-0.22180190682411194,-0.2809024155139923
GTSE1,-0.2202037274837494,-0.04663630947470665
PTPRG,-0.2194928526878357,-0.3125152587890625
PTTG1,-0.2177622765302658,-0.017093418166041374
FOS,-0.21663978695869446,-0.016513576731085777
KIF18A,-0.21554845571517944,-0.1032019779086113
METAP2,-0.2131580114364624,-0.14705674350261688
RPS18,0.21092580258846283,0.041267070919275284
RPS2,0.21051518619060516,0.0708703100681305
BRINP3,0.20998914539813995,0.13099855184555054
RALYL,0.20938053727149963,-0.1543894112110138
DUT,0.20729972422122955,0.09110697358846664
CDCA3,-0.2071404606103897,-0.04136252403259277
CCNA2-1,-0.20660805702209473,-0.047542162239551544
RPS6,0.20605254173278809,0.029994163662195206
BIRC5,-0.2051810771226883,-0.0002928883768618107
NMU,-0.204731285572052,-0.055145107209682465
EXT1,-0.20453263819217682,-0.19625809788703918
GAPDH,0.20314499735832214,0.1818578541278839
PRC1,-0.20263910293579102,-0.09207107126712799
PRR11,-0.20253431797027588,-0.042043495923280716
RANBP1,0.201926127076149,0.1598212718963623
CDON,-0.2010200023651123,-0.39873528480529785
TOP2A,-0.20054808259010315,-0.04571914300322533
SLC17A3,0.2004321813583374,-0.0025769032072275877
LINC01965,-0.1998623013496399,-0.3525819778442383
GLI3,-0.19935819506645203,-0.2820768356323242
RBP1,-0.1985805332660675,0.032379720360040665
KIFC1,-0.1973756104707718,-0.030370235443115234
VCAM1,0.1970096081495285,0.2285984307527542
ROBO2,-0.19689032435417175,-0.43886464834213257
MAML3,-0.19551268219947815,-0.14559096097946167
SLC35F1,-0.1950988471508026,-0.22651182115077972
TUBA1C,-0.19444498419761658,-0.06988060474395752
CKAP2,-0.19439701735973358,0.020496724173426628
NR2F2-AS1,0.1934410035610199,0.23357892036437988
UHRF1,0.19129842519760132,0.140011727809906
NUF2,-0.1889996975660324,-0.009608827531337738
KIF23,-0.18878677487373352,-0.07025490701198578
TUBB4B,-0.1886073648929596,0.1274460107088089
LINC01551,-0.1885489523410797,-0.1777942180633545
TTK,-0.1885385811328888,-0.047852348536252975
CDCA2,-0.1881868690252304,-0.04958357661962509
TACC3,-0.18734192848205566,-0.02703336998820305
TYMS,0.1865244358778,0.17689412832260132
JUN,-0.18488729000091553,-0.08063781261444092
PTMS,-0.18468187749385834,-4.114862531423569e-05
SLIT2,-0.1844961792230606,-0.1440993696451187
TRPM3,-0.18333283066749573,-0.18312038481235504
NKAIN3,-0.18289771676063538,-0.24761681258678436
GREB1L,0.18190617859363556,0.3353382647037506
CDH18,-0.18051476776599884,-0.2633443772792816
EPHA7,-0.18035858869552612,-0.22355778515338898
CCNA2,-0.17898054420948029,-0.2833213806152344
