gene,pearson_r,pval,padj,abs_r
NR2F1,0.34409141540527344,8.517837069825786e-96,4.2682881556897015e-92,0.34409141540527344
FGFR3,0.32584500312805176,1.5463601681879514e-85,3.8744054013949117e-82,0.32584500312805176
NFIA,-0.31292396783828735,1.0935897011006411e-78,1.8266593307384375e-75,0.31292396783828735
AURKA,-0.2893613576889038,4.732121183110139e-67,5.9281648121412264e-64,0.2893613576889038
CDC20,-0.2835063934326172,2.510886344618501e-64,2.516410294576662e-61,0.2835063934326172
CCNB1,-0.2763012647628784,4.612117260967958e-61,3.851886599118407e-58,0.2763012647628784
CENPF,-0.27598631381988525,6.373181867646099e-61,4.5622877626820856e-58,0.27598631381988525
PLK1,-0.2738891839981079,5.430917885764524e-60,3.401791190695754e-57,0.2738891839981079
VIM,-0.2725396454334259,2.1347347192575865e-59,1.1885728531333073e-56,0.2725396454334259
PIF1,-0.2632249891757965,2.190700941853492e-55,1.097760241962785e-52,0.2632249891757965
NEK2,-0.2579408288002014,3.5110295286182682e-53,1.599433542536922e-50,0.2579408288002014
ASPM,-0.2574031352996826,5.847165230867853e-53,2.4416787476565677e-50,0.2574031352996826
DLGAP5-1,-0.2501392364501953,5.108214252009996e-50,1.96902012437093e-47,0.2501392364501953
RPLP1,0.24887442588806152,1.62454364156405e-49,5.814705848483896e-47,0.24887442588806152
CENPE,-0.24860180914402008,2.082846025376444e-49,6.95809428877424e-47,0.24860180914402008
NCKAP5,-0.2476108968257904,5.126604780869107e-49,1.6055885348084434e-46,0.2476108968257904
CCNB2,-0.2472001165151596,7.43833717097878e-49,2.1925592684573335e-46,0.2472001165151596
SPRY1,-0.2459041029214859,2.3960679262541732e-48,6.670386876922035e-46,0.2459041029214859
RMST,-0.24554386734962463,3.312658031544722e-48,8.736699682142423e-46,0.24554386734962463
UBE2C,-0.2445761263370514,7.887731306352304e-48,1.97627107880657e-45,0.2445761263370514
GAS2L3,-0.23640792071819305,1.0259404507706395e-44,2.4480893327674644e-42,0.23640792071819305
CDCA8,-0.23613259196281433,1.3003083872410376e-44,2.961747876574927e-42,0.23613259196281433
SGO2,-0.2355387657880783,2.1656086164904606e-44,4.71820207705813e-42,0.2355387657880783
MPPED2,-0.2351962774991989,2.9044793962126107e-44,6.064310939342247e-42,0.2351962774991989
BUB1,-0.2349269986152649,3.657302478892005e-44,7.330697088691134e-42,0.2349269986152649
MKI67,-0.23462289571762085,4.742913676858297e-44,9.141054013360356e-42,0.23462289571762085
DOK5,-0.23399388790130615,8.110031849962991e-44,1.5051618370431314e-41,0.23399388790130615
PAX6,-0.23386256396770477,9.069350792954064e-44,1.6230898865533147e-41,0.23386256396770477
CDKN3,-0.23329216241836548,1.472712404442495e-43,2.544745468503911e-41,0.23329216241836548
CENPA,-0.23169159889221191,5.699980512879095e-43,9.52086745001238e-41,0.23169159889221191
TMEM132D,-0.23137067258358002,7.467685099592197e-43,1.2071151623889193e-40,0.23137067258358002
KIF14,-0.22825871407985687,1.0033649607439748e-41,1.5712068182150178e-39,0.22825871407985687
LGALS1,-0.22767096757888794,1.6317981577947896e-41,2.477860778396876e-39,0.22767096757888794
CKS2,-0.2272247076034546,2.358474203396287e-41,3.475974774476116e-39,0.2272247076034546
KPNA2,-0.227034330368042,2.759104761895431e-41,3.950249703388002e-39,0.227034330368042
TPX2,-0.22653968632221222,4.1448711216550307e-41,5.769430330725933e-39,0.22653968632221222
CREB5,-0.22537487745285034,1.0765711059456725e-40,1.4580264356469636e-38,0.22537487745285034
APOLD1,-0.22282007336616516,8.57140791638364e-40,1.1302980281315374e-37,0.22282007336616516
KIF2C,-0.22260965406894684,1.0156885542549387e-39,1.3050295757362815e-37,0.22260965406894684
CLVS1,-0.22180190682411194,1.945369732860623e-39,2.4370619328411455e-37,0.22180190682411194
GTSE1,-0.2202037274837494,6.984506800030759e-39,8.536430140232714e-37,0.2202037274837494
PTPRG,-0.2194928526878357,1.229289977128824e-38,1.4666600179506041e-36,0.2194928526878357
PTTG1,-0.2177622765302658,4.82768821238154e-38,5.625940844707883e-36,0.2177622765302658
FOS,-0.21663978695869446,1.165041285056127e-37,1.3268231544127847e-35,0.21663978695869446
KIF18A,-0.21554845571517944,2.730637126751845e-37,3.0407161427007764e-35,0.21554845571517944
METAP2,-0.2131580114364624,1.7356477528663972e-36,1.8907241064377211e-34,0.2131580114364624
RPS18,0.21092580258846283,9.566179769000418e-36,1.0199175919672573e-33,0.21092580258846283
RPS2,0.21051518619060516,1.306707914306474e-35,1.3641486163728628e-33,0.21051518619060516
BRINP3,0.20998914539813995,1.946589204555556e-35,1.990685408985284e-33,0.20998914539813995
RALYL,0.20938053727149963,3.08287555474535e-35,3.08965788096579e-33,0.20938053727149963
DUT,0.20729972422122955,1.4687308327147923e-34,1.4431000397517302e-32,0.20729972422122955
